idcontenuto,titolo,data_creazione,percorso,professore_idprofessore,data_accettazione,lezione_idlezione1,wp_post_id
247971221,"LiveTrekker: l'app che registra i tuoi movimenti - Viaggi Sicuriwww.viaggisicuri.com â€º viaggiareinformati â€º live-trekker","2021-01-09 00:00:00",https://www.viaggisicuri.com/viaggiareinformati/live-trekker/,1,NULL,1089015836,NULL
325872361,"Questo Ã¨ quello che succede quando proviamo a registrarewww.youtube.com â€º watch","2021-01-09 00:00:00",https://www.youtube.com/watch?v=Aa05LIO6ro8,1,NULL,1089015836,NULL
342363229,"Tutorial. Come registrare una traccia di chitarra con iShred su ...www.iphoneitalia.com â€º tutorial-come-registrare-una-tr...","2021-01-09 00:00:00",https://www.iphoneitalia.com/26811/tutorial-come-registrare-una-traccia-di-chitarra-con-ishred-su-garageband,1,NULL,1089015836,NULL
807255785,"Gigaset A420/A420Agse.gigaset.com â€º A31008-M2402-K101-1-7219_it_IT","2021-01-09 00:00:00",https://gse.gigaset.com/fileadmin/legacy-assets/A31008-M2402-K101-1-7219_it_IT.pdf,1,NULL,1089015836,NULL
819322279,"Analisi di un segnale sonoro - Piano Lauree Scientifichewww.progettolaureescientifiche.eu â€º uploads â€º 2011/10","2021-01-09 00:00:00",http://www.progettolaureescientifiche.eu/wp-content/uploads/2011/10/Scheda_Analisi-di-un-segnale-sonoro.pdf,1,NULL,1089015836,NULL
975918423,"Possiamo toccare i nostri piedi? Li possiamo vedere? SI ...www.orvietomontecchio.edu.it â€º uploads â€º 2015/07","2021-01-09 00:00:00",https://www.orvietomontecchio.edu.it/wp-content/uploads/2015/07/MUSICA-CL-1D.pdf,1,NULL,1089015836,NULL
1013230865,"guida per il docente - HUB Scuolams-mms.hubscuola.it â€º saggio â€º 24775908_scienze_natur...","2021-01-09 00:00:00",https://ms-mms.hubscuola.it/saggio/120900059538/aff39d2d-590b-463a-91c4-bfa499e1dd69/24775908_scienze_naturali_guida_V.pdf,1,NULL,1860205521,NULL
1227000399,"La sincope in 5 punti: come creare musica viva ... - Best of bassbestofbass.wordpress.com â€º 2017/02/10 â€º la-sincope-in...","2021-01-09 00:00:00",https://bestofbass.wordpress.com/2017/02/10/la-sincope-in-5-punti-come-creare-musica-viva-dinamica-nuova/,1,NULL,1860205521,NULL
1309160946,"Come trascrivere un file AUDIO vocale in TESTOwww.informatica37.it â€º trascrivere-file-audio-vocale-tes...","2021-01-09 00:00:00",https://www.informatica37.it/trascrivere-file-audio-vocale-testo-speech-to-text/,1,NULL,1860205521,NULL
1474742172,"Il modo piÃ¹ semplice di registrare un video (e lo ... - YouTubewww.youtube.com â€º watch","2021-01-09 00:00:00",https://www.youtube.com/watch?v=vf_aOI_qNPI,1,NULL,1089015836,NULL
1617060811,"Indice - ePagesepages.com â€º uploads â€º help â€º helpcenter_it","2021-01-09 00:00:00",https://epages.com/uploads/help/helpcenter_it.pdf,1,NULL,1860205521,NULL
1631225914,"Video a scatti? Ecco come migliorare le prestazioni ... - YouTubewww.youtube.com â€º watch","2021-01-09 00:00:00",https://www.youtube.com/watch?v=at2ZSl7o1Bk,1,NULL,1089015836,NULL
1818003486,"strumenti ed esempi di materiali - PoloAmiataOvestpoloamiataovest.edu.it â€º wp-content â€º uploads â€º sites â€º St...","2021-01-09 00:00:00",http://poloamiataovest.edu.it/wp-content/uploads/sites/468/Strumenti_esempiASL_guida_MIUR_parte1.pdf,1,NULL,1860205521,NULL
1937496775,"noi proviamo a - Traduzione in francese - esempi italiano ...context.reverso.net â€º traduzione â€º noi+proviamo+a","2021-01-09 00:00:00",https://context.reverso.net/traduzione/italiano-francese/noi+proviamo+a,1,NULL,1089015836,NULL
2018595351,"La trascrizione: dal DNA all'RNA - Biologia. La scienza della vitaebook.scuola.zanichelli.it â€º sadavabiologia â€º la-trascrizi...","2021-01-09 00:00:00",http://ebook.scuola.zanichelli.it/sadavabiologia/la-trascrizione-dal-dna-all-rna,1,NULL,1860205521,NULL
